StockID,QuantitySum,SalesSum,ChargeBack,ChargeRatio,SalesperMin,QuantityperMin,Customer
90114,64,163.2,0,0,0.140689655,0.055172414,10
90116,4,6.76,0,0,0.005184049,0.003067485,2
90118,0,0,6,1,0,0,1
84849D,455,768.95,22,0.046121593,0.537351502,0.317959469,66
16169K,200,84,0,0,6.461538462,15.38461538,8
15044D,626,1724.34,2,0.003184713,1.207521008,0.43837535,53
90119,45,110.88,0,0,2.996756757,1.216216216,2
84569A,190,237.5,0,0,0.169280114,0.135424091,25
90131,4,27.8,0,0,0.05,0.007194245,1
90133,9,44.55,0,0,0.7425,0.15,3
90135,6,29.7,0,0,0.053417266,0.010791367,1
90136,3,29.85,0,0,0.021275837,0.002138275,2
90202D,6,17.7,6,0.5,0.347058824,0.117647059,2
90138,4,19.8,0,0,0.035611511,0.007194245,1
90143,17,127.5,2,0.105263158,0.965909091,0.128787879,7
90144,7,26.25,0,0,0.085784314,0.022875817,3
90145,21,124.95,0,0,0.093595506,0.015730337,7
90146,13,63.75,0,0,0.700549451,0.142857143,3
90147,19,189.05,2,0.095238095,3.049193548,0.306451613,10
90148,6,76.5,2,0.25,1.141791045,0.089552239,5
90149,52,335.28,0,0,0.24927881,0.03866171,2
90151,8,68,0,0,2.833333333,0.333333333,2
90154,57,421.75,0,0,0.350873544,0.047420965,5
90155,6,45,0,0,0.362903226,0.048387097,4
90156,3,14.85,0,0,0.087869822,0.017751479,2
85130C,471,419.39,0,0,0.300853659,0.337876614,35
90158,14,69.3,0,0,0.71443299,0.144329897,6
90159,3,14.85,0,0,0.106071429,0.021428571,2
90157,7,34.65,0,0,0.357216495,0.072164948,2
47593A,33,14.37,0,0,0.060632911,0.139240506,10
90166,14,58.9,0,0,0.046341463,0.011014949,4
90167,10,8.5,0,0,0.01528777,0.017985612,1
90168,0,0,6,1,0,0,1
90169,0,0,6,1,0,0,1
90170,34,56.1,12,0.260869565,0.051092896,0.030965392,6
90173,16,60,0,0,0.044345898,0.011825573,3
90174,4,10.2,12,0.75,0.00719323,0.002820874,4
90188,3,7.65,0,0,0.005791067,0.002271007,2
16202A,7,3.5,0,0,0.002521614,0.005043228,2
90191,22,113.9,0,0,0.090540541,0.017488076,7
90192,19,94.05,2,0.095238095,0.06554007,0.013240418,4
90036C,6,47.7,0,0,0.437614679,0.055045872,2
90194,12,51,0,0,0.349315068,0.082191781,6
90204,13,43.55,4,0.235294118,0.558333333,0.166666667,8
79323B,0,0,8,1,0,0,2
90208,4,10.2,6,0.6,0.008408904,0.003297609,4
84800L,336,598.8,24,0.066666667,3.254347826,1.826086957,20
85049G,1505,1832.58,14,0.00921659,5.836242038,4.792993631,161
84951A,337,291.18,24,0.066481994,6.195319149,7.170212766,26
90039C,1,3.75,0,0,0.006744604,0.001798561,1
71495A,96,34.56,0,0,0.026043708,0.072343632,2
85230B,1240,319.28,0,0,0.292380952,1.135531136,29
84279P,319,1178.97,16,0.047761194,4.065413793,1.1,78
44242A,12,9.48,0,0,0.01705036,0.021582734,1
90184A,8,71.6,0,0,0.967567568,0.108108108,4
35818B,31,11.78,0,0,0.152987013,0.402597403,3
85035B,558,820.5,0,0,1.921545667,1.306791569,38
82095,7,53.55,0,0,0.038414634,0.005021521,4
35916B,6,5.1,0,0,0.009172662,0.010791367,1
85049B,54,67.5,0,0,0.298672566,0.238938053,13
90128B,1,1.25,0,0,0.002248201,0.001798561,1
90042A,3,7.65,0,0,0.035747664,0.014018692,1
90065B,1,6.75,0,0,0.012140288,0.001798561,1
85014A,1123,6301.93,6,0.005314438,27.76180617,4.947136564,183
84387A,11,21.45,0,0,0.038579137,0.019784173,1
90063B,8,68,0,0,0.059181897,0.006962576,5
85098B,-1,-3.75,1,inf,-0.006744604,-0.001798561,1
90180A,13,87.35,0,0,0.746581197,0.111111111,5
85049A,2771,3426.91,12,0.004311894,8.41992629,6.808353808,196
84800M,124,169.24,3,0.023622047,0.127921391,0.093726379,12
37503,-1,-10.75,1,inf,-0.019334532,-0.001798561,1
90124A,6,59.7,0,0,0.045747126,0.004597701,4
72807B,347,1430.75,3,0.008571429,42.08088235,10.20588235,56
85124C,84,214.2,0,0,0.153658537,0.06025825,23
85039C,221,128.29,1,0.004504505,0.567654867,0.977876106,10
46776A,14,69.3,0,0,0.15,0.03030303,6
84596E,392,253.05,0,0,0.1829718,0.283441793,33
84706D,6,25.7,0,0,0.021965812,0.005128205,3
84804A,58,171.1,0,0,0.136009539,0.046104928,7
22871,52,101.4,0,0,2.982352941,1.529411765,10
22872,55,107.25,0,0,0.078571429,0.04029304,13
90064A,7,26.25,0,0,0.019560358,0.005216095,3
46775D,22,372.9,0,0,2.469536424,0.145695364,10
84732B,22,8.58,0,0,0.020477327,0.052505967,2
84535A,398,185.1,0,0,0.142384615,0.306153846,19
90129D,8,23.6,0,0,0.123560209,0.041884817,2
84875B,125,168.75,0,0,2.63671875,1.953125,14
22883,77,98.59,1,0.012820513,0.808114754,0.631147541,9
90187B,4,13.4,0,0,0.024100719,0.007194245,1
22885,78,100.54,1,0.012658228,50.27,39,10
22886,73,90.79,0,0,6.485,5.214285714,8
71496A,114,61.86,0,0,1.627894737,3,5
35610C,24,30,0,0,0.053956835,0.043165468,1
85123A,33403,91831.01,2577,0.071623124,166.6624501,60.62250454,852
D,-1193,-5667.54,1193,inf,-11.98211416,-2.522198732,24
46000S,1472,2134.4,44,0.029023747,133.4,92,125
84086C,140,413,0,0,0.325966851,0.110497238,13
81953B,11,2.09,0,0,0.001470795,0.007741027,2
82482,7918,19048.51,232,0.028466258,36.98739806,15.37475728,407
82483,2027,12739.39,204,0.091438817,24.73667961,3.93592233,237
82484,5515,32080.16,22,0.003973271,81.62890585,14.03307888,277
82486,1927,16247.85,68,0.034085213,31.5492233,3.741747573,233
85019C,169,211.25,12,0.066298343,0.17560266,0.140482128,9
22908,4090,3220.72,3,0.000732959,14.12596491,17.93859649,209
90026B,2,17,0,0,0.060498221,0.007117438,2
84925F,80,112.48,0,0,10.22545455,7.272727273,14
90120B,20,85,0,0,1.808510638,0.425531915,5
84341B,618,252.23,0,0,1.659407895,4.065789474,30
90210C,74,95.9,0,0,0.068159204,0.052594172,3
84707A,34,378.34,0,0,0.411686616,0.036996736,18
79192A,3,3.75,0,0,0.012417219,0.009933775,2
82613C,341,227.05,20,0.055401662,0.167564576,0.251660517,33
47559B,1905,2291.71,30,0.015503876,1.860154221,1.546266234,145
17001,72,20.88,0,0,0.037553957,0.129496403,1
17003,22669,5693.52,3,0.000132322,271.12,1079.47619,131
82551,2754,4172.63,4,0.001450326,2.930217697,1.933988764,154
82552,2869,4384.51,0,0,26.73481707,17.49390244,184
90000D,6,35.7,0,0,0.028176796,0.004735596,4
17021,2391,632.34,0,0,4.790454545,18.11363636,30
85185B,290,836.3,1,0.003436426,4.020673077,1.394230769,51
