,Customer1,Customer2,Customer3,Customer4,Customer5,Score1,Score2,Score3,Score4,Score5
16386,17602,13497,16600,12483,12755,0.1742198793874448,0.25390891478287364,0.17090265161403484,0.1724046176353125,0.22856393658033425
16389,18073,13094,14117,14377,17025,0.1771147343535747,0.22462067067922456,0.20474087632482924,0.21184675249553406,0.18167696614683732
16393,18177,17735,16180,16523,17469,0.2074977652994647,0.19989105938170426,0.20489126847853384,0.2006771745708004,0.1870427322694968
16394,16096,15541,14044,15201,17750,0.16608109584550018,0.21247731368434142,0.17282219800940513,0.2460492021960104,0.20257019026474293
16399,17597,15093,13722,16754,13308,0.1952769816546988,0.19640340448362625,0.1944911551558969,0.19774274795053073,0.21608571075524743
16401,16432,17811,17186,18118,13135,0.2077515367308235,0.17897870288423048,0.21074240518563236,0.19178495001368126,0.21074240518563236
16407,14897,16814,16928,17858,16189,0.19402099005833953,0.19610740629795764,0.18816106901564078,0.2302660948623041,0.19144443976575798
16409,15899,15437,16791,18144,14036,0.1886061261238592,0.18720149387792862,0.18610539921396946,0.18413161777177084,0.25395536301247185
16411,17849,14090,16148,15668,18113,0.20021138571102945,0.1999471535722426,0.1999471535722426,0.1999471535722426,0.1999471535722426
16414,15668,15488,16148,14090,18113,0.20000385754101943,0.19998456983592217,0.20000385754101943,0.20000385754101943,0.20000385754101943
16418,13116,12523,13813,12891,13168,0.17860759346190744,0.1882263674069707,0.19981025204887798,0.20111509245433248,0.2322406946279114
16422,17464,16965,15860,14676,14549,0.2192754886236333,0.1887581023806288,0.19389334698574384,0.19809231928498922,0.19998074272500485
16426,12980,13681,17634,14401,17006,0.17487675948943304,0.17843108457685677,0.20475437178851502,0.22984669823936607,0.21209108590582906
16434,18198,15938,14397,13668,13001,0.20878018805974355,0.20624676296759167,0.19121701963972174,0.20207056932329684,0.19168546000964623
16438,14782,12989,17572,17045,16665,0.20373561756959416,0.19934652044640053,0.19753448543489194,0.20002360964427965,0.19935976690483367
16440,15707,17144,16536,15553,16688,0.23426336227618513,0.1810256610226935,0.1814145980372306,0.17473888164656168,0.22855749701732903
16444,17186,18118,16401,13135,16432,0.2033391267101372,0.19625571479095952,0.19661270577531373,0.2033391267101372,0.2004533260134524
16454,13154,12505,17065,12503,17448,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998
16458,13577,12990,15719,16456,13534,0.20823049724676398,0.19169692406486408,0.19822981436754286,0.1915905953670881,0.21025216895374094
16460,14314,13656,16841,13430,16531,0.2008980839759203,0.19679236685000837,0.2060122226098868,0.225487225634237,0.17081010092994747
16463,15303,17227,12424,14143,15347,0.174354735309659,0.17762808095794452,0.22752401465622377,0.18742821785639502,0.23306495121977766
16464,13308,15093,17597,13722,16754,0.21605184090670246,0.19525578990318732,0.1972435449642494,0.19481552454433623,0.19663329968152454
16466,13831,17760,16792,14548,17616,0.18277943320830917,0.23234695188840823,0.2116291603761461,0.1817077102544603,0.19153674427267617
16469,17512,14682,14687,13267,13720,0.20249321010870108,0.19691081399884197,0.22127270813036493,0.18523571736169347,0.1940875504003986
16470,18013,13308,17404,15429,13743,0.18101530324448656,0.19529769678360984,0.18069752613857962,0.19966631724092415,0.2433231565923999
16474,13889,14403,16055,13049,16639,0.1935674479010492,0.22057520019115254,0.19418082587293709,0.19775320410686653,0.19392332192799464
16478,15701,17456,13134,13124,17760,0.24664780716408286,0.31060870265300256,0.1463949364387177,0.1377727280056225,0.15857582573857448
16488,13621,16948,13092,16669,18033,0.2086039068944074,0.2136297961498433,0.19712340314073135,0.19001539292416372,0.1906275008908543
16497,15027,14952,17449,13572,16135,0.20560934496219574,0.1965430773855235,0.19760526924238753,0.20854183215532326,0.19170047625457
16500,13983,16838,14185,12359,14973,0.07043128588477467,0.05370187082022711,0.7230547884449999,0.05087170886252615,0.10194034598747222
16511,13816,14082,17334,18095,12811,0.1766199033929512,0.23597187880197035,0.21139273447368956,0.20043712040341413,0.1755783629279748
16515,15554,14277,18121,15506,16706,0.20821583000906874,0.22353436847475305,0.17791168774504834,0.17974346785705622,0.21059464591407356
16519,15254,17436,17653,15184,17765,0.17650787287928493,0.178522902021303,0.17092761487428826,0.20410950074792125,0.2699321094772025
16523,14709,18177,16182,16180,17469,0.21308416084680934,0.18982752520466287,0.19732165386286193,0.2037339477836927,0.1960327123019732
16525,16405,16027,15753,15051,17980,0.18633641059536632,0.18711372357770287,0.18639766810123776,0.21157146586598546,0.22858073185970768
16531,12748,16333,16754,14314,13430,0.1836755798037982,0.22157497097599643,0.21549123758187227,0.18097457894978283,0.19828363268855023
16532,16353,13147,15649,16545,16679,0.1967369370862181,0.2061104078728616,0.2061104078728616,0.18790768716417927,0.20313456000387933
16533,17819,15885,15658,15909,17453,0.18721850329486056,0.1820114134826193,0.19310339840235438,0.19908206840811266,0.2385846164120531
16549,13994,16010,17175,16034,15349,0.17097316627132464,0.18209228593193572,0.18306840191330284,0.20381187520806943,0.26005427067536735
16554,13752,17320,16027,15051,16411,0.2151639591153563,0.19402268829859362,0.19339275514146953,0.1916199673759725,0.20580063006860796
